stringName;stringPowerWh
String 1.1;184035
String 1.2;191674
String 1.3;185291
String 1.4;200627
String 1.5;200883
String 1.6;206439
String 1.7;205817
String 1.8;199823
String 1.9;203745
String 1.10;205467
String 1.11;203403
String 1.12;205268
String 2.1;208335
String 2.3;198148
String 2.4;201369
String 2.2;205695
