date;V;I;T;G;Tamb;Name;G_orig;Pmax;V_sim;I_sim;Pmax_sim;deviation
31,07.2019 06:59:18;23.8;0;288.4;0.0001;289.1;Module 1,11_14;1.92;0,00;0,00;0,00;0,00;0,00
31,07.2019 07:00:39;23.8;0;288.4;0.0001;289.12;Module 1,11_14;1.72;0,00;0,00;0,00;0,00;0,00
31,07.2019 07:01:52;23.8;0;288.4;0.0001;289.11;Module 1,11_14;1.44;0,00;0,00;0,00;0,00;0,00
31,07.2019 07:03:06;23.8;0;288.4;0.0001;289.12;Module 1,11_14;1.39;0,00;0,00;0,00;0,00;0,00
31,07.2019 07:51:22;28.7;0;288.4;4.071029666876634;289.06;Module 1,11_14;4.98;0,00;1,53;0,01;0,02;-0,02
31,07.2019 07:52:38;30.2;0;288.4;4.848981199348964;289.06;Module 1,11_14;5.87;0,00;1,82;0,01;0,02;-0,02
31,07.2019 07:53:51;30.7;0;288.4;5.968373203604232;289.07;Module 1,11_14;7.16;0,00;2,24;0,02;0,04;-0,04
31,07.2019 07:55:04;31.4;0;288.4;7.3959791983657865;289.09;Module 1,11_14;8.8;0,00;2,78;0,02;0,06;-0,06
31,07.2019 07:56:17;29.8;0;292;8.713357663884018;289.1;Module 1,11_14;10.29;0,00;3,28;0,02;0,08;-0,08
31,07.2019 07:57:31;26.2;0;292;11.042384804461395;289.12;Module 1,11_14;12.95;0,00;4,16;0,03;0,12;-0,12
31,07.2019 07:58:43;26.5;0.02;292;13.119130491384398;289.14;Module 1,11_14;15.29;0,53;4,94;0,04;0,17;0,36
31,07.2019 07:59:59;26.3;0.04;292;16.00436747928784;289.14;Module 1,11_14;18.54;1,05;6,02;0,04;0,26;0,79
31,07.2019 08:01:12;26.3;0.06;289.4;19.076211144547337;289.16;Module 1,11_14;21.98;1,58;7,17;0,05;0,37;1,21
31,07.2019 08:02:28;26.6;0.07;289.4;20.981360930462667;289.17;Module 1,11_14;24.05;1,86;7,89;0,06;0,44;1,42
31,07.2019 08:03:53;27;0.07;289.4;22.84844097363184;289.2;Module 1,11_14;26.05;1,89;8,59;0,06;0,53;1,36
31,07.2019 08:05:06;29.1;0.08;289.4;23.950561276047345;289.2;Module 1,11_14;27.19;2,33;9,01;0,06;0,58;1,75
31,07.2019 08:06:23;29.4;0.08;292;24.617853023653108;289.23;Module 1,11_14;27.83;2,35;9,27;0,07;0,61;1,74
31,07.2019 08:08:02;29.7;0.09;292;24.883946494450413;289.24;Module 1,11_14;27.99;2,67;9,37;0,07;0,63;2,05
31,07.2019 08:09:15;29.7;0.09;292;24.86266612412226;289.23;Module 1,11_14;27.87;2,67;9,36;0,07;0,62;2,05
31,07.2019 08:10:29;29.8;0.08;292;24.407463443178052;289.24;Module 1,11_14;27.27;2,38;9,19;0,07;0,60;1,78
31,07.2019 08:11:42;29.8;0.08;292;23.602396648931148;289.25;Module 1,11_14;26.29;2,38;8,88;0,06;0,56;1,82
31,07.2019 08:12:55;29.7;0.07;292;22.824383888769948;289.25;Module 1,11_14;25.35;2,08;8,59;0,06;0,53;1,55
31,07.2019 08:14:11;29.5;0.07;292;22.29352030311725;289.25;Module 1,11_14;24.69;2,07;8,39;0,06;0,50;1,56
31,07.2019 08:15:29;29.5;0.06;292;21.214357424968433;289.27;Module 1,11_14;23.43;1,77;7,98;0,06;0,45;1,32
31,07.2019 08:16:42;29.4;0.05;292;19.841410135761357;289.28;Module 1,11_14;21.86;1,47;7,47;0,05;0,40;1,07
31,07.2019 08:18:00;29.3;0.05;292;20.04550848116903;289.3;Module 1,11_14;22.03;1,47;7,55;0,05;0,41;1,06
31,07.2019 08:19:13;28.9;0.05;292;19.934889677735203;289.32;Module 1,11_14;21.86;1,45;7,50;0,05;0,40;1,04
31,07.2019 08:20:26;29;0.05;292;20.360817941063175;289.31;Module 1,11_14;22.28;1,45;7,66;0,05;0,42;1,03
31,07.2019 08:21:43;29;0.05;292;20.99017753324791;289.29;Module 1,11_14;22.92;1,45;7,90;0,06;0,45;1,00
31,07.2019 08:22:55;29.1;0.06;292;22.17689472460836;289.29;Module 1,11_14;24.17;1,75;8,34;0,06;0,50;1,25
31,07.2019 08:24:09;29.3;0.07;292;23.42244616519638;289.26;Module 1,11_14;25.48;2,05;8,81;0,06;0,55;1,50
31,07.2019 08:25:23;29.2;0.08;292;25.711190242100752;289.25;Module 1,11_14;27.92;2,34;9,68;0,07;0,67;1,67
31,07.2019 08:26:39;29.1;0.1;292;28.459213786909586;289.27;Module 1,11_14;30.85;2,91;10,71;0,08;0,82;2,09
31,07.2019 08:27:52;29.3;0.11;292;30.21454708995177;289.28;Module 1,11_14;32.7;3,22;11,38;0,08;0,92;2,30
31,07.2019 08:29:14;29.9;0.12;292;31.683199772768635;289.31;Module 1,11_14;34.23;3,59;11,92;0,09;1,01;2,57
31,07.2019 08:30:27;30;0.12;292.5;32.490283218150175;289.32;Module 1,11_14;35.05;3,60;12,23;0,09;1,07;2,53
31,07.2019 08:31:49;30.2;0.12;292.5;33.19211836798762;289.33;Module 1,11_14;35.75;3,62;12,50;0,09;1,11;2,51
31,07.2019 08:33:02;30.2;0.12;292.5;32.71681831886954;289.34;Module 1,11_14;35.19;3,62;12,32;0,09;1,08;2,54
31,07.2019 08:34:21;30.2;0.12;292.5;32.735413609264455;289.35;Module 1,11_14;35.16;3,62;12,32;0,09;1,08;2,54
31,07.2019 08:35:35;30.3;0.12;292.5;32.75873263662426;289.35;Module 1,11_14;35.14;3,64;12,34;0,09;1,08;2,55
31,07.2019 08:37:12;30.3;0.12;292.5;33.96002559440802;289.4;Module 1,11_14;36.37;3,64;12,79;0,09;1,17;2,47
31,07.2019 08:38:29;30.2;0.13;292.5;36.00233415076171;289.45;Module 1,11_14;38.51;3,93;13,55;0,10;1,31;2,62
31,07.2019 08:39:57;30.1;0.15;292.5;38.13849216387324;289.46;Module 1,11_14;40.74;4,51;14,36;0,10;1,47;3,04
31,07.2019 08:41:10;30.3;0.16;292.5;39.585330381243615;289.48;Module 1,11_14;42.24;4,85;14,91;0,11;1,58;3,26
31,07.2019 08:42:22;30.5;0.17;292.5;41.70867376775892;289.51;Module 1,11_14;44.46;5,19;15,70;0,11;1,76;3,43
31,07.2019 08:43:36;30.6;0.18;292.5;43.71403509209915;289.53;Module 1,11_14;46.55;5,51;16,45;0,12;1,93;3,58
31,07.2019 08:44:52;30.8;0.19;294;45.25315480438041;289.49;Module 1,11_14;48.14;5,85;17,05;0,12;2,07;3,78
31,07.2019 08:46:04;30.8;0.2;294;47.53476223243548;289.48;Module 1,11_14;50.52;6,16;17,91;0,13;2,29;3,87
31,07.2019 08:47:18;31.2;0.21;294;50.159469887691856;289.47;Module 1,11_14;53.26;6,55;18,89;0,13;2,55;4,01
31,07.2019 08:48:30;31.2;0.23;294;51.62684968781977;289.46;Module 1,11_14;54.77;7,18;19,44;0,14;2,70;4,48
31,07.2019 08:49:44;31.2;0.23;294;51.926787067281026;289.46;Module 1,11_14;55.04;7,18;19,55;0,14;2,73;4,45
31,07.2019 08:50:57;31.2;0.22;294;49.65697240420306;289.5;Module 1,11_14;52.59;6,86;18,70;0,13;2,50;4,37
31,07.2019 08:52:11;31.3;0.2;294;46.466041276633895;289.51;Module 1,11_14;49.17;6,26;17,50;0,12;2,19;4,07
