moduleName;averageIrradiation;averageTemperature;averageAmbientTemperature;averageVoltage;averageCurrent
Module 2,1_11;376,16;38,41;26,68;32,77;1,70
Module 2,1_12;349,73;40,27;26,56;31,97;1,61
Module 2,1_13;349,76;35,98;26,52;31,87;1,58
Module 2,1_14;349,75;39,79;26,56;32,34;1,61
Module 2,1_15;351,28;34,82;26,63;30,51;1,63
Module 2,1_16;352,23;32,74;26,61;30,94;1,60
Module 2,1_17;348,83;34,44;26,47;31,08;1,59
Module 2,1_18;349,59;35,01;26,56;31,54;1,61
Module 2,2_1;345,79;37,63;26,87;32,87;1,47
Module 2,2_3;344,38;39,07;26,83;33,76;1,44
Module 2,2_5;393,46;42,32;28,22;33,19;1,70
Module 2,2_6;345,70;34,34;26,86;32,44;1,47
Module 2,2_7;348,41;35,97;26,70;32,50;1,49
Module 2,2_8;348,67;35,09;26,88;32,21;1,44
Module 2,2_9;345,67;33,17;26,87;33,00;1,47
Module 2,2_10;350,53;38,09;26,91;34,43;1,43
Module 2,2_12;372,67;35,62;27,65;32,47;1,59
Module 2,2_13;403,38;37,64;28,45;31,75;1,75
Module 2,2_14 (2);366,16;35,33;27,30;33,71;1,57
Module 2,2_14;350,91;39,88;26,92;33,84;1,43
Module 2,2_15;361,57;36,84;25,95;32,09;1,52
Module 2,2_16;355,14;35,63;27,24;32,39;1,50
Module 2,2_17;348,95;36,54;26,90;33,21;1,45
Module 2,2_18;345,44;40,51;26,95;33,57;1,46
Module 2,3_1;376,63;37,95;28,38;30,61;1,68
Module 2,3_2;377,31;37,28;28,38;31,64;1,68
Module 2,3_3;492,40;40,15;29,49;32,08;1,95
Module 2,3_4;376,17;37,51;28,36;31,21;1,68
Module 2,3_5;387,75;37,28;28,46;30,78;1,70
Module 2,3_6;377,15;38,55;28,38;31,61;1,68
Module 2,3_7;488,23;40,72;29,40;31,78;1,97
Module 2,3_8;376,54;37,22;28,38;30,91;1,68
Module 2,3_9;376,50;38,18;28,38;30,33;1,68
Module 2,3_10 QClip;379,45;32,73;28,39;24,32;1,69
Module 2,3_10;377,89;33,84;28,41;24,06;1,69
Module 2,3_11;375,76;43,73;28,35;30,26;1,68
Module 2,3_12;479,89;40,65;28,95;32,45;1,89
Module 2,3_13;450,97;40,05;28,83;31,78;1,87
Module 2,3_14;376,07;36,41;28,36;30,36;1,68
Module 2,3_15;456,27;38,87;28,80;31,78;1,95
Module 2,3_16;375,13;36,15;28,32;31,41;1,67
Module 2,3_17;494,72;41,06;30,04;31,97;2,10
Module 2,3_18;383,35;40,08;28,26;31,37;1,67
Module 2,4_1;344,44;35,67;26,49;31,12;1,60
Module 2,4_2;345,60;38,10;26,49;31,37;1,60
Module 2,4_3;345,44;35,94;26,53;30,61;1,61
Module 2,4_4;348,28;35,99;26,64;30,27;1,62
Module 2,4_5;345,08;34,75;26,50;31,08;1,60
Module 2,4_6;345,18;35,02;26,49;30,51;1,60
Module 2,4_7;348,83;34,72;26,72;30,22;1,63
Module 2,4_8;345,08;32,72;26,50;31,59;1,60
Module 2,4_9;346,20;34,55;26,55;30,52;1,61
Module 2,4_10;344,78;34,37;26,49;31,18;1,60
Module 2,4_11;345,15;65,07;26,49;31,55;1,60
Module 2,4_12;345,29;35,06;26,50;31,02;1,60
Module 2,4_13;344,91;35,46;26,49;31,63;1,60
Module 2,4_14;345,31;33,85;26,48;30,35;1,60
Module 2,4_15;344,99;38,92;26,49;32,38;1,60
Module 2,4_16;345,76;42,75;26,51;31,15;1,61
Module 2,4_17;345,19;35,48;26,49;31,32;1,60
Module 2,4_18;344,32;35,36;26,49;31,52;1,60
