moduleName;averageIrradiation;averageTemperature;averageAmbientTemperature;averageVoltage;averageCurrent
Module 1,6_6;439,40;35,01;26,94;32,35;1,69
Module 1,6_7;450,66;35,38;27,04;32,32;1,70
Module 1,6_8;443,56;36,58;26,98;32,15;1,72
Module 1,6_9;465,62;33,69;27,13;32,08;1,67
Module 1,6_10;456,00;43,96;27,09;31,84;1,69
Module 1,6_11;452,85;32,92;27,01;31,97;1,67
Module 1,6_12;461,46;34,05;27,08;32,35;1,67
Module 1,6_13;463,45;66,37;27,07;32,35;1,67
Module 1,6_14;441,80;33,45;26,97;31,79;1,70
Module 1,6_15;447,98;35,04;27,01;32,20;1,71
Module 1,6_16;445,18;32,99;27,07;31,79;1,70
Module 1,6_17;452,32;32,17;27,00;32,18;1,69
Module 1,6_18;445,81;33,34;27,01;30,44;1,75
Module 1,7_1;428,54;35,15;26,80;31,52;1,71
Module 1,7_2;448,90;34,31;27,00;31,11;1,69
Module 1,7_3;463,42;34,26;27,12;31,90;1,66
Module 1,7_4;450,78;36,35;27,00;32,23;1,67
Module 1,7_5;417,35;43,82;26,77;32,38;1,66
Module 1,7_6;422,71;35,57;26,81;32,03;1,66
Module 1,7_7;423,13;35,26;26,83;32,01;1,69
Module 1,7_8;466,82;35,87;27,19;32,61;1,67
Module 1,7_9;452,59;42,23;27,00;32,41;1,66
Module 1,7_10;448,26;41,90;27,00;31,60;1,66
Module 1,7_11;452,70;34,63;27,01;31,89;1,66
Module 1,7_12;422,69;36,21;26,79;31,59;1,65
Module 1,7_13;453,51;35,20;27,02;32,05;1,66
Module 1,7_14;436,01;35,91;26,89;32,09;1,67
Module 1,7_15;453,83;35,67;27,02;32,61;1,66
Module 1,7_16;436,75;34,45;26,92;32,25;1,70
Module 1,7_17;429,20;35,74;26,86;31,77;1,70
Module 1,7_18;461,84;42,84;27,08;32,13;1,65
Module 1,8_1;434,03;34,92;26,89;32,14;1,64
Module 1,8_2;463,65;38,60;27,10;32,66;1,62
Module 1,8_3;435,80;35,01;26,91;31,89;1,65
Module 1,8_4;447,05;34,41;26,95;31,85;1,67
Module 1,8_5;459,79;36,05;27,09;32,22;1,62
Module 1,8_6;461,65;33,55;27,08;31,78;1,62
Module 1,8_7;439,99;35,27;26,94;32,06;1,66
Module 1,8_8;443,05;35,97;26,96;31,67;1,66
Module 1,8_9;465,48;35,38;27,12;32,48;1,62
Module 1,8_10;452,59;36,35;27,01;32,97;1,64
Module 1,8_11;456,44;35,23;27,05;31,74;1,62
Module 1,8_12;451,74;35,06;27,11;31,79;1,65
Module 1,8_13;199,55;20,97;20,91;31,02;0,20
Module 1,8_14;437,21;37,35;27,03;32,40;1,63
Module 1,8_15;459,07;38,06;27,07;32,51;1,62
Module 1,8_16;464,16;42,38;27,10;31,86;1,62
Module 1,8_17;457,51;33,69;27,05;32,22;1,62
Module 1,8_18;443,51;37,57;27,18;31,64;1,70
Module 1,9_1;439,34;44,03;27,14;31,77;1,68
Module 1,9_2;400,92;34,92;26,65;30,09;1,69
Module 1,9_3;404,47;34,78;26,76;32,44;1,70
Module 1,9_4;436,99;34,86;26,91;32,56;1,65
Module 1,9_5;441,52;34,69;26,95;32,07;1,64
Module 1,9_6;438,92;44,16;26,93;32,02;1,65
Module 1,9_7;420,65;34,83;26,83;32,06;1,68
Module 1,9_8;442,92;35,84;26,96;32,62;1,63
Module 1,9_9;442,07;43,07;26,96;32,18;1,64
Module 1,9_10;405,07;35,12;26,70;31,83;1,68
Module 1,9_11;439,87;36,70;26,94;32,21;1,64
Module 1,9_12;423,13;33,69;26,85;31,58;1,67
Module 1,9_13;413,35;33,14;26,79;31,89;1,69
Module 1,9_14;427,94;42,17;26,86;32,03;1,66
Module 1,9_15;442,54;34,17;26,95;32,64;1,63
Module 1,9_16;408,71;34,47;26,84;32,58;1,71
Module 1,9_17;439,29;34,26;26,93;32,63;1,64
Module 1,9_18;415,73;44,10;26,96;32,89;1,74
Module 1,10_1;436,80;31,40;26,90;31,70;1,70
Module 1,10_2;459,59;37,63;27,09;32,33;1,65
Module 1,10_3;451,95;33,69;27,01;31,99;1,66
Module 1,10_4;460,23;30,63;27,08;31,76;1,65
Module 1,10_5;445,62;33,99;26,98;32,31;1,66
Module 1,10_6;442,00;34,15;26,95;31,65;1,67
Module 1,10_7;419,24;32,79;26,79;32,07;1,67
Module 1,10_8;460,77;34,37;27,08;30,69;1,65
Module 1,10_9;434,38;34,24;26,90;32,09;1,71
Module 1,10_10;437,76;42,67;26,94;32,34;1,70
Module 1,10_11;445,94;34,93;26,98;32,57;1,69
Module 1,10_12;424,22;44,89;26,82;32,04;1,64
Module 1,10_13;464,51;32,70;27,11;32,07;1,65
Module 1,10_14;428,40;32,11;26,86;32,06;1,65
Module 1,10_15;463,09;31,84;27,08;31,98;1,65
Module 1,10_16;463,60;43,31;27,10;31,98;1,65
Module 1,10_17;448,83;35,93;27,01;32,74;1,69
Module 1,10_18;449,09;33,49;27,18;31,45;1,67
Module 1,11_1;462,16;45,57;27,05;31,77;1,63
Module 1,11_2;461,93;33,74;27,05;31,91;1,64
Module 1,11_3;458,67;31,75;27,04;31,79;1,65
Module 1,11_4;460,26;32,71;27,05;32,12;1,64
Module 1,11_5;442,64;34,29;26,89;31,57;1,70
Module 1,11_6;456,04;41,50;27,02;32,22;1,65
Module 1,11_7;433,54;32,79;26,89;31,88;1,67
Module 1,11_8;430,40;32,22;26,85;31,53;1,64
Module 1,11_9;443,63;33,25;26,94;31,79;1,66
Module 1,11_10;440,12;37,08;27,01;31,61;1,68
Module 1,11_11;458,99;37,56;27,48;32,40;1,90
Module 1,11_12;429,21;34,62;26,77;31,23;1,67
Module 1,11_13;430,22;33,79;26,87;31,40;1,65
Module 1,11_14;462,52;33,99;26,92;30,99;1,87
Module 1,11_15;446,27;30,30;26,92;31,76;1,68
Module 1,11_16;451,66;40,82;26,98;32,30;1,66
Module 1,11_17;430,97;33,77;26,85;32,07;1,67
Module 1,11_18;436,91;33,90;26,86;31,18;1,70
Module 1,12_1;448,48;33,55;26,92;31,97;1,68
Module 1,12_2;441,64;34,44;26,89;30,24;1,66
Module 1,12_3;442,70;33,07;26,92;31,68;1,65
Module 1,12_4;441,18;34,76;26,96;30,72;1,65
Module 1,12_5;456,80;35,19;27,02;31,59;1,64
Module 1,12_6;457,18;35,49;27,02;31,81;1,65
Module 1,12_7;455,10;33,50;27,01;32,52;1,66
Module 1,12_8;455,15;33,44;27,01;31,95;1,63
Module 1,12_9;456,47;35,60;27,03;31,71;1,63
Module 1,12_10;458,10;32,95;27,05;31,95;1,64
Module 1,12_11;456,10;34,18;26,99;32,28;1,65
Module 1,12_12;435,37;33,56;26,84;32,09;1,68
Module 1,12_13;454,94;67,60;27,00;31,94;1,64
Module 1,12_14;452,67;32,57;26,98;31,89;1,64
Module 1,12_15;448,52;34,05;26,98;31,24;1,66
Module 1,12_16;451,55;33,33;26,99;32,03;1,63
Module 1,12_17;442,57;35,36;26,91;32,07;1,66
Module 1,12_18;434,79;42,20;26,87;31,15;1,61
Module 2,1_1;434,39;32,79;26,95;30,07;1,63
Module 2,1_2;432,11;43,52;26,91;30,76;1,63
Module 2,1_3;455,58;35,81;27,01;32,55;1,62
Module 2,1_4;465,09;38,35;27,07;32,36;1,63
Module 2,1_5;465,07;31,46;27,08;31,89;1,62
Module 2,1_6;466,37;41,81;27,08;32,27;1,63
Module 2,1_7;451,27;33,65;26,99;31,75;1,60
Module 2,1_8;465,43;32,00;27,06;32,12;1,63
Module 2,1_9;466,17;33,41;27,09;32,10;1,62
Module 2,1_10;423,33;33,77;26,80;31,33;1,63
Module 2,1_11;467,03;36,98;27,08;32,86;1,63
Module 2,1_12;450,57;39,49;26,99;32,72;1,64
Module 2,1_13;466,77;35,22;27,05;32,14;1,65
Module 2,1_14;462,38;38,91;27,05;33,04;1,63
Module 2,1_15;436,22;33,75;26,90;31,13;1,61
Module 2,1_16;423,50;31,63;26,79;31,57;1,63
Module 2,1_17;467,00;33,73;27,05;31,54;1,64
Module 2,1_18;466,06;34,29;27,08;32,19;1,62
Module 2,2_1;466,21;36,53;27,09;33,52;1,50
Module 2,2_2;491,66;35,29;27,78;33,69;1,72
Module 2,2_3;435,33;37,91;26,88;34,18;1,48
Module 2,2_4;461,53;38,66;27,21;33,91;1,59
Module 2,2_5;459,09;39,71;27,27;34,20;1,50
Module 2,2_6;467,07;33,23;27,10;33,02;1,50
Module 2,2_7;455,67;35,78;27,17;33,55;1,58
Module 2,2_8;467,42;34,10;27,11;32,95;1,50
Module 2,2_9;464,71;31,93;27,06;33,44;1,49
Module 2,2_10;410,51;39,79;29,31;32,75;1,98
Module 2,2_11;467,81;32,21;27,14;33,45;1,55
Module 2,2_12;473,63;33,50;27,22;33,10;1,56
Module 2,2_13;470,00;34,48;27,28;32,58;1,55
