date;V;I;T;G;Tamb;Name;G_orig;Pmax;V_sim;I_sim;Pmax_sim;deviation
05,11.2019 14:14:22;35.6;1.43;301.7;298.7493631847633;285.68;Module 1,7_18;322.08;50,91;36,23;1,38;49,94;0,97
05,11.2019 14:16:17;35.7;1.74;303.2;358.54978922509014;285.77;Module 1,7_18;386.55;62,12;36,16;1,68;60,70;1,42
05,11.2019 14:24:03;35.6;1.64;303.2;337.15897167508376;286.14;Module 1,7_18;363.51;58,38;36,10;1,57;56,73;1,66
05,11.2019 14:26:02;35.8;1.67;303.7;339.52268055750505;286.4;Module 1,7_18;366.07;59,79;36,02;1,58;57,04;2,75
05,11.2019 14:27:57;35.8;2.71;303.7;572.1877429781848;286.8;Module 1,7_18;616.95;97,02;36,34;2,75;99,91;-2,89
05,11.2019 14:29:49;36.1;3.65;303.7;752.3587094405057;287.39;Module 1,7_18;811.25;131,77;36,32;3,65;132,61;-0,84
05,11.2019 14:31:44;35.5;3.68;305.2;757.8576140399439;288.47;Module 1,7_18;817.22;130,64;36,05;3,68;132,67;-2,03
05,11.2019 14:51:26;35.5;2.17;305.2;500.4621570309419;286.51;Module 1,7_18;540.15;77,03;36,04;2,39;86,15;-9,12
05,11.2019 14:53:18;36.4;3.17;305.2;730.3163873313081;287.1;Module 1,7_18;788.33;115,39;36,07;3,54;127,74;-12,36
05,11.2019 14:55:11;34.9;1.51;305.2;320.11551349201005;287.85;Module 1,7_18;345.59;52,70;35,70;1,49;53,09;-0,39
05,11.2019 14:57:05;35.6;1.59;305.2;459.9571528287612;288.01;Module 1,7_18;496.63;56,60;36,00;2,19;78,75;-22,14
05,11.2019 14:58:57;35;1.41;305.7;298.6605544546761;288.14;Module 1,7_18;322.52;49,35;35,52;1,38;49,03;0,32
05,11.2019 15:00:50;35.4;1.52;305.7;365.0092721502093;288.31;Module 1,7_18;394.23;53,81;35,73;1,71;61,19;-7,38
05,11.2019 15:02:45;34.9;1.61;305.7;331.7711147649545;288.47;Module 1,7_18;358.39;56,19;35,64;1,55;55,10;1,09
05,11.2019 15:05:19;35.6;2.07;305.7;374.3413492937648;288.92;Module 1,7_18;404.47;73,69;35,76;1,76;62,90;10,79
05,11.2019 15:07:12;35.3;2.14;305.7;414.5448678957123;289;Module 1,7_18;447.99;75,54;35,84;1,96;70,26;5,28
05,11.2019 15:09:07;35.2;1.82;307.2;367.0969282181487;289.1;Module 1,7_18;396.79;64,06;35,48;1,72;61,15;2,91
05,11.2019 15:11:00;35.6;3.48;307.2;733.6797025014743;289.59;Module 1,7_18;793.18;123,89;35,72;3,56;127,14;-3,26
05,11.2019 15:12:53;34.7;2.32;307.2;452.1789598672285;290.22;Module 1,7_18;488.95;80,50;35,63;2,15;76,61;3,90
05,11.2019 15:14:46;35.1;3.05;307.7;644.4270157532834;290.67;Module 1,7_18;696.98;107,05;35,66;3,11;110,99;-3,94
05,11.2019 15:16:38;34.5;2.84;307.7;608.7333419198874;291.04;Module 1,7_18;658.52;97,98;35,66;2,93;104,61;-6,63
05,11.2019 15:37:43;36.3;1.81;307.7;596.8448083533895;287.26;Module 1,7_18;647.67;65,70;35,65;2,87;102,48;-36,78
05,11.2019 15:39:36;34.8;1.25;307.7;339.58686312169766;287.93;Module 1,7_18;368.63;43,50;35,31;1,59;56,01;-12,51
05,11.2019 16:23:27;37.1;0.99;300.7;302.9900659721303;285.44;Module 1,7_18;332.79;36,73;36,43;1,40;50,95;-14,22
05,11.2019 16:25:20;36.7;1.76;301.2;430.87431818568876;285.92;Module 1,7_18;473.59;64,59;36,66;2,04;74,76;-10,17
05,11.2019 16:27:14;36.6;2.13;301.2;393.31654282500614;286.6;Module 1,7_18;432.63;77,96;36,59;1,85;67,74;10,21
05,11.2019 16:29:07;35.5;2.04;301.2;404.6461343861422;287.34;Module 1,7_18;445.43;72,42;36,62;1,91;69,86;2,56
05,11.2019 16:30:59;35.2;2.03;301.7;429.89419335809833;287.94;Module 1,7_18;473.59;71,46;36,57;2,03;74,41;-2,96
05,11.2019 16:32:52;35.4;2.07;301.7;413.29391142760545;288.64;Module 1,7_18;455.67;73,28;36,55;1,95;71,32;1,96
05,11.2019 16:34:44;34.7;1.47;301.7;295.61124025851365;288.98;Module 1,7_18;326.19;51,01;36,23;1,36;49,35;1,66
05,11.2019 16:36:37;34.6;1.46;303.2;299.01568412718143;289.25;Module 1,7_18;330.23;50,52;35,97;1,38;49,65;0,86
06,11.2019 11:58:25;36.6;2.81;299.1;517.5928520812957;282.63;Module 1,7_18;568.31;102,85;37,13;2,47;91,78;11,07
06,11.2019 12:00:18;36.6;2.53;299.1;559.862571946739;283.43;Module 1,7_18;614.39;92,60;37,14;2,68;99,70;-7,10
06,11.2019 12:12:12;34.7;2.25;299.6;463.3390504583559;283.46;Module 1,7_18;506.87;78,08;36,98;2,20;81,40;-3,33
06,11.2019 14:35:47;36.5;1.75;299.1;350.9689464031732;283.26;Module 1,7_18;378.87;63,88;36,87;1,64;60,38;3,50
06,11.2019 14:37:30;37.2;3.51;299.1;694.00023655664;283.82;Module 1,7_18;749.22;130,57;37,14;3,36;124,65;5,92
06,11.2019 14:39:22;36.8;3.37;299.6;698.6335864598898;284.69;Module 1,7_18;754.28;124,02;37,05;3,38;125,23;-1,21
06,11.2019 14:41:26;36.4;3.21;299.6;682.6947454512567;285.42;Module 1,7_18;737.14;116,84;37,06;3,30;122,29;-5,44
06,11.2019 14:43:19;34.9;1.31;299.6;329.5181643312781;285.73;Module 1,7_18;355.83;45,72;36,72;1,53;56,20;-10,48
06,11.2019 14:45:12;36.2;3.23;299.6;676.879610874422;285.94;Module 1,7_18;731;116,93;37,06;3,27;121,21;-4,29
06,11.2019 14:47:05;35.8;2.93;299.6;659.7260948668343;286.38;Module 1,7_18;712.55;104,89;37,06;3,18;118,04;-13,15
06,11.2019 14:49:03;35.1;2.39;303.7;497.6780717980172;286.46;Module 1,7_18;537.59;83,89;36,30;2,38;86,24;-2,35
06,11.2019 15:15:48;34.6;1.79;301.7;352.2618303723855;283.58;Module 1,7_18;381.43;61,93;36,41;1,65;59,93;2,00
