Module 1,5_11;229,74;24,79;16,16;33,46;1,04
Module 1,5_12;231,02;22,28;16,21;32,34;1,04
Module 1,5_13;230,13;22,08;16,18;32,22;1,04
Module 1,5_14;226,72;32,00;16,02;31,69;1,03
Module 1,5_15;227,59;22,71;16,12;33,25;1,03
Module 1,5_16;229,85;23,84;16,16;33,64;1,04
Module 1,5_17;229,97;25,09;16,17;33,37;1,04
Module 1,5_18;230,50;23,00;16,20;33,09;1,04
Module 1,6_1;226,79;31,46;16,08;33,35;1,04
Module 1,6_2;226,69;21,59;16,08;33,30;1,04
Module 1,6_3;227,66;23,05;16,09;32,73;1,04
Module 1,6_4;227,01;25,50;16,08;33,21;1,04
Module 1,6_5;226,79;30,43;16,08;33,71;1,04
Module 1,6_6;227,57;23,71;16,09;33,60;1,04
Module 1,6_7;227,80;24,33;16,10;33,68;1,04
Module 1,6_8;228,03;25,36;16,11;33,36;1,04
Module 1,6_9;229,10;23,09;16,14;33,73;1,04
Module 1,6_10;228,99;32,94;16,13;33,27;1,04
Module 1,6_11;227,96;22,38;16,10;33,13;1,04
Module 1,6_12;224,26;23,14;16,13;33,29;1,03
Module 1,6_13;226,72;55,73;16,08;33,55;1,04
Module 1,6_14;227,10;22,24;16,08;33,04;1,04
Module 1,6_15;226,76;23,66;16,08;33,45;1,04
Module 1,6_16;228,82;21,97;16,12;33,06;1,04
Module 1,6_17;228,69;21,77;16,11;33,53;1,04
Module 1,6_18;231,54;21,33;15,94;30,48;1,06
Module 1,7_1;230,44;23,46;16,04;32,87;1,04
Module 1,7_2;227,46;22,70;16,08;32,00;1,03
Module 1,7_3;226,67;23,42;16,09;32,97;1,03
Module 1,7_4;229,25;25,66;16,10;33,35;1,03
Module 1,7_5;227,26;32,73;16,08;33,69;1,03
Module 1,7_6;229,45;24,39;16,13;33,17;1,03
Module 1,7_7;228,06;23,89;16,10;33,17;1,03
Module 1,7_8;227,07;24,97;16,12;33,89;1,03
Module 1,7_9;228,05;31,41;16,09;33,76;1,03
Module 1,7_10;227,93;30,80;16,11;32,54;1,03
Module 1,7_11;228,11;23,99;16,09;33,02;1,03
Module 1,7_12;227,58;24,85;16,08;32,62;1,03
Module 1,7_13;228,49;23,90;16,10;33,17;1,03
Module 1,7_14;227,43;24,71;16,08;33,22;1,03
Module 1,7_15;228,57;24,83;16,11;33,77;1,03
Module 1,7_16;227,10;22,91;16,08;33,38;1,03
Module 1,7_17;228,26;24,03;16,11;32,69;1,03
Module 1,7_18;228,30;31,67;16,10;33,32;1,03
Module 1,8_1;223,23;23,39;16,04;33,33;0,99
Module 1,8_2;221,01;27,09;16,03;33,40;0,99
Module 1,8_3;225,87;23,46;16,08;32,89;1,00
Module 1,8_4;227,69;22,83;15,96;33,02;1,01
Module 1,8_5;226,40;25,04;16,10;33,00;1,01
Module 1,8_6;227,51;22,38;15,98;32,75;1,01
Module 1,8_7;228,52;23,49;16,12;33,21;1,00
Module 1,8_8;226,96;24,50;16,08;32,57;1,01
Module 1,8_9;226,71;24,77;16,08;33,50;1,00
Module 1,8_10;226,23;25,48;16,07;34,33;1,00
Module 1,8_11;227,56;23,85;16,04;32,32;1,01
Module 1,8_12;226,83;23,52;16,08;32,89;1,01
Module 1,8_13;53,94;13,21;9,96;32,11;0,17
Module 1,8_14;227,12;25,23;16,09;33,92;1,00
Module 1,8_15;226,90;27,53;16,09;33,62;1,01
Module 1,8_16;227,99;31,28;16,09;32,77;1,00
Module 1,8_17;227,11;22,80;16,09;33,19;1,00
Module 1,8_18;227,48;26,68;16,15;32,89;1,01
Module 1,9_1;229,04;32,41;16,20;32,66;1,03
Module 1,9_2;233,78;23,62;16,22;33,51;1,04
Module 1,9_3;233,67;22,89;16,18;33,62;1,05
Module 1,9_4;229,33;23,82;16,13;33,32;1,03
