stringName;stringPowerWh
String 1.1;NaN
String 1.2;NaN
String 1.3;NaN
String 1.4;NaN
String 1.5;NaN
String 1.6;NaN
String 1.7;NaN
String 1.8;NaN
String 1.9;NaN
String 1.10;NaN
String 1.11;NaN
String 1.12;NaN
String 2.1;NaN
String 2.3;NaN
String 2.4;NaN
String 2.2;NaN
