date;V;I;T;G;Tamb;Name;G_orig;Pmax;V_sim;I_sim;Pmax_sim;deviation
04,10.2019 12:46:43;33.9;1.3;313.2;246.9460888655956;289.81;Module 1_4_5;260.13;44,07;33,71;1,11;37,31;6,76
04,10.2019 12:48:51;33.9;1.21;313.2;228.18032514240582;289.41;Module 1_4_5;240.31;41,02;33,59;1,01;33,95;7,07
04,10.2019 12:50:44;34.3;1.27;312.7;241.1866658930862;288.99;Module 1_4_5;253.96;43,56;33,77;1,08;36,36;7,20
04,10.2019 12:52:37;34.4;1.31;312.7;244.6220758616521;288.57;Module 1_4_5;257.53;45,06;33,79;1,09;36,98;8,09
04,10.2019 12:54:33;34.4;1.14;310.7;214.13250534982174;288.34;Module 1_4_5;225.39;39,22;33,92;0,94;31,78;7,44
04,10.2019 12:56:25;34.5;1.13;310.7;211.7277396502868;288.11;Module 1_4_5;222.82;38,98;33,90;0,92;31,34;7,64
04,10.2019 12:58:18;34.5;1.21;310.7;228.96602828184126;287.97;Module 1_4_5;240.92;41,74;34,04;1,01;34,46;7,28
04,10.2019 13:00:10;34.8;1.21;308.7;228.52886473854315;287.95;Module 1_4_5;240.42;42,11;34,38;1,01;34,68;7,43
04,10.2019 13:02:04;34.8;1.25;308.7;237.56028682749894;287.86;Module 1_4_5;249.88;43,50;34,45;1,05;36,33;7,17
04,10.2019 13:04:05;34.8;1.41;307.2;269.4358199681957;287.88;Module 1_4_5;283.36;49,07;34,90;1,22;42,44;6,63
04,10.2019 13:06:00;35.1;1.67;307.2;333.529269173653;287.93;Module 1_4_5;350.71;58,62;35,14;1,54;54,28;4,34
04,10.2019 13:07:56;35.2;1.7;307.2;323.84154994113084;288.1;Module 1_4_5;340.47;59,84;35,11;1,50;52,49;7,35
04,10.2019 13:09:50;34.8;1.47;307.2;287.58837914146926;288.32;Module 1_4_5;302.31;51,16;34,98;1,31;45,80;5,36
04,10.2019 13:11:45;34.8;1.42;307.2;276.67016247405036;288.38;Module 1_4_5;290.79;49,42;34,93;1,25;43,78;5,64
04,10.2019 13:13:38;34.6;1.21;307.2;234.4972616727413;288.31;Module 1_4_5;246.43;41,87;34,70;1,04;35,99;5,87
04,10.2019 13:15:35;34.6;1.22;307.2;238.60400546299851;288.26;Module 1_4_5;250.71;42,21;34,72;1,06;36,75;5,46
04,10.2019 13:17:29;34.7;1.27;306.7;246.52702630596352;288.21;Module 1_4_5;259;44,07;34,86;1,10;38,29;5,78
04,10.2019 13:19:42;34.8;1.23;306.7;237.0734734183868;288.03;Module 1_4_5;249.03;42,80;34,80;1,05;36,54;6,26
04,10.2019 13:21:43;34.8;1.12;306.7;220.25306065699985;287.86;Module 1_4_5;231.33;38,98;34,68;0,96;33,44;5,54
04,10.2019 13:23:36;34.8;1.08;306.7;212.0527834389544;287.82;Module 1_4_5;222.69;37,58;34,61;0,92;31,92;5,66
04,10.2019 13:25:41;34.8;1.1;306.7;216.7186970358876;287.78;Module 1_4_5;227.56;38,28;34,65;0,95;32,78;5,50
04,10.2019 13:27:38;34.8;1.17;306.7;231.85080736549406;287.71;Module 1_4_5;243.42;40,72;34,77;1,02;35,58;5,14
04,10.2019 13:29:33;34.8;1.3;306.7;254.3867104577709;287.65;Module 1_4_5;267.05;45,24;34,91;1,14;39,75;5,49
04,10.2019 13:31:25;35;1.47;306.7;290.74943611233243;287.71;Module 1_4_5;305.19;51,45;35,08;1,33;46,48;4,97
04,10.2019 13:33:18;35;1.62;305.2;324.39425714593085;287.89;Module 1_4_5;340.47;56,70;35,46;1,50;53,05;3,65
04,10.2019 13:35:14;35;1.59;305.2;314.67067842228005;288.14;Module 1_4_5;330.23;55,65;35,43;1,45;51,24;4,41
04,10.2019 13:37:07;34.9;1.52;305.2;299.46360081825253;288.35;Module 1_4_5;314.24;53,05;35,38;1,37;48,40;4,65
04,10.2019 13:39:02;34.8;1.63;305.2;319.6119524133711;288.42;Module 1_4_5;335.35;56,72;35,45;1,47;52,16;4,56
04,10.2019 13:40:55;35.1;2.25;305.2;436.7653613038622;288.62;Module 1_4_5;458.23;78,98;35,67;2,07;73,93;5,04
04,10.2019 13:43:08;34.8;1.56;306.7;300.0947731649272;288.74;Module 1_4_5;314.81;54,29;35,12;1,37;48,21;6,08
04,10.2019 13:45:01;34.5;1.28;306.7;248.0394376524425;288.65;Module 1_4_5;260.18;44,16;34,87;1,11;38,57;5,59
04,10.2019 13:47:07;34.5;1.07;306.7;202.23089073281062;288.33;Module 1_4_5;212.11;36,91;34,52;0,87;30,11;6,80
04,10.2019 13:49:00;34.5;0.98;306.7;186.45676651919769;288.17;Module 1_4_5;195.55;33,81;34,37;0,79;27,21;6,60
04,10.2019 13:51:09;34.5;0.96;306.7;181.1231074899447;288.03;Module 1_4_5;189.94;33,12;34,30;0,76;26,23;6,89
04,10.2019 13:53:03;34.5;0.86;306.7;164.0086151959285;287.88;Module 1_4_5;171.98;29,67;34,09;0,68;23,10;6,57
04,10.2019 13:54:55;34.5;0.82;306.7;153.55746919548488;287.69;Module 1_4_5;161.01;28,29;33,92;0,62;21,20;7,09
04,10.2019 13:56:49;34.5;0.84;305.2;158.2029072462767;287.49;Module 1_4_5;165.87;28,98;34,26;0,65;22,16;6,82
04,10.2019 13:58:32;34.5;0.88;305.2;164.69790462946645;287.38;Module 1_4_5;172.67;30,36;34,36;0,68;23,36;7,00
04,10.2019 14:00:25;34.6;0.89;305.2;168.07485177569072;287.35;Module 1_4_5;176.2;30,79;34,41;0,70;23,98;6,81
04,10.2019 14:02:17;34.8;0.88;304.7;160.18554811020766;287.17;Module 1_4_5;167.92;30,62;34,38;0,66;22,57;8,05
04,10.2019 14:04:10;34.8;0.78;304.7;142.00141573659897;286.8;Module 1_4_5;148.85;27,14;34,07;0,56;19,23;7,91
04,10.2019 14:06:30;34.7;0.71;304.7;127.12693270990647;286.57;Module 1_4_5;133.25;24,64;33,74;0,49;16,52;8,12
04,10.2019 14:08:25;34.7;0.64;304.7;115.48337821470523;286.36;Module 1_4_5;121.04;22,21;33,43;0,43;14,42;7,79
04,10.2019 14:10:18;34.6;0.61;304.7;109.21963797651155;286.2;Module 1_4_5;114.47;21,11;33,23;0,40;13,29;7,81
04,10.2019 14:12:10;34.8;0.68;302.7;123.07846353199598;286.09;Module 1_4_5;128.99;23,66;33,99;0,47;15,88;7,78
04,10.2019 14:14:03;34.9;0.73;302.7;134.54293553193486;285.91;Module 1_4_5;141;25,48;34,27;0,52;17,99;7,49
04,10.2019 14:15:56;35;0.77;302.7;139.48079905648578;285.47;Module 1_4_5;146.17;26,95;34,37;0,55;18,90;8,05
04,10.2019 14:17:46;35.1;0.8;302.7;144.80013015167748;285.28;Module 1_4_5;151.74;28,08;34,47;0,58;19,88;8,20
04,10.2019 14:19:38;35.1;0.8;302.7;145.4051953636348;285.32;Module 1_4_5;152.37;28,08;34,48;0,58;19,99;8,09
04,10.2019 14:21:49;35.2;0.78;300.1;142.5939234328361;285.48;Module 1_4_5;149.42;27,46;34,88;0,56;19,64;7,82
04,10.2019 14:23:51;35;0.77;300.1;138.49334369772453;285.66;Module 1_4_5;145.12;26,95;34,80;0,54;18,87;8,08
04,10.2019 14:25:44;35;0.73;300.1;132.44504790972886;285.85;Module 1_4_5;138.78;25,55;34,67;0,51;17,75;7,80
04,10.2019 14:27:36;34.9;0.71;300.1;128.88702542689487;285.98;Module 1_4_5;135.05;24,78;34,59;0,49;17,08;7,69
04,10.2019 14:28:54;34.8;0.7;300.1;129.77554325262093;286.04;Module 1_4_5;135.98;24,36;34,61;0,50;17,25;7,11
04,10.2019 14:30:48;34.8;0.73;301.2;139.5494342088139;286.14;Module 1_4_5;146.22;25,40;34,63;0,55;19,00;6,40
04,10.2019 14:32:41;34.8;0.85;301.2;156.56676145616007;286.22;Module 1_4_5;164.05;29,58;34,94;0,63;22,18;7,40
04,10.2019 14:34:37;35.1;0.93;301.2;173.07785513758148;286.35;Module 1_4_5;181.35;32,64;35,17;0,72;25,27;7,37
04,10.2019 14:36:30;35;0.94;300.1;174.35639038764262;286.5;Module 1_4_5;182.69;32,90;35,38;0,72;25,61;7,29
04,10.2019 14:38:35;35;0.86;300.1;160.66001459650997;286.61;Module 1_4_5;168.34;30,10;35,19;0,65;23,03;7,07
04,10.2019 14:40:28;34.7;0.75;300.7;136.86614316226883;286.64;Module 1_4_5;143.41;26,03;34,66;0,53;18,53;7,49
04,10.2019 14:42:21;34.5;0.67;300.7;121.90967219358181;286.62;Module 1_4_5;127.74;23,12;34,30;0,46;15,76;7,35
04,10.2019 14:44:16;34.6;0.68;300.7;123.54919288795958;286.61;Module 1_4_5;129.46;23,53;34,34;0,47;16,07;7,46
