date;V;I;T;G;Tamb;Name;G_orig;Pmax;V_sim;I_sim;Pmax_sim;deviation
31,07.2019 14:16:51;33.7;1.88;300.5;380.35998145380825;292.53;Module 1,1_12;383.99;63,36;34,48;1,82;62,79;0,57
31,07.2019 14:18:04;33.8;2.09;300.5;433.6338263699924;292.82;Module 1,1_12;437.75;70,64;34,55;2,09;72,08;-1,43
31,07.2019 14:19:20;33.9;2.12;300.5;461.55340977677065;293.12;Module 1,1_12;465.91;71,87;34,57;2,23;76,93;-5,06
31,07.2019 14:20:34;33.7;2.03;300.5;436.21514928564216;293.48;Module 1,1_12;440.31;68,41;34,55;2,10;72,53;-4,11
31,07.2019 14:21:48;34.2;3.73;300.5;839.3540965845798;293.82;Module 1,1_12;847.19;127,57;34,38;4,10;141,09;-13,53
31,07.2019 14:23:13;33.7;6.28;302.5;1222.5687672279396;294.63;Module 1,1_12;1233.91;211,64;33,41;6,00;200,42;11,21
31,07.2019 14:24:31;32.7;5.74;302.5;1189.6583481929006;295.75;Module 1,1_12;1200.63;187,70;33,48;5,84;195,37;-7,67
31,07.2019 14:25:44;32.1;5.58;302.5;1128.8362040005395;296.81;Module 1,1_12;1139.19;179,12;33,59;5,54;185,94;-6,82
31,07.2019 14:26:59;33.4;5.34;302.5;1106.0622291893792;297.49;Module 1,1_12;1116.15;178,36;33,63;5,42;182,38;-4,02
31,07.2019 14:29:32;31.3;3.49;304;482.0441315876136;298.53;Module 1,1_12;486.39;109,24;33,95;2,33;79,06;30,18
31,07.2019 14:30:48;31.1;5.58;304;1154.4420513647347;298.95;Module 1,1_12;1164.79;173,54;33,27;5,66;188,42;-14,88
31,07.2019 14:32:01;30.5;5.44;309.1;1144.3494177182372;299.39;Module 1,1_12;1154.55;165,92;32,40;5,61;181,77;-15,85
31,07.2019 14:33:13;30.4;5.38;309.1;850.1137788393376;299.79;Module 1,1_12;857.65;163,55;32,84;4,16;136,54;27,01
31,07.2019 14:34:25;30.6;5.31;309.1;1083.5571802926556;300.05;Module 1,1_12;1093.11;162,49;32,51;5,31;172,62;-10,13
31,07.2019 14:35:43;30;5.37;309.1;1108.9914117008464;300.35;Module 1,1_12;1118.71;161,10;32,46;5,44;176,46;-15,36
31,07.2019 14:36:58;30;5.1;314.6;1149.6531975608518;300.64;Module 1,1_12;1159.67;153,00;31,41;5,63;176,98;-23,98
31,07.2019 14:38:13;31.4;5.46;314.6;1129.4065590567607;300.93;Module 1,1_12;1139.19;171,44;31,45;5,53;174,04;-2,60
31,07.2019 14:39:17;30.1;4.46;314.6;745.4842768143759;301.13;Module 1,1_12;751.91;134,25;31,97;3,64;116,32;17,93
31,07.2019 14:40:32;30.4;5.58;314.6;1152.3550866834412;301.35;Module 1,1_12;1162.23;169,63;31,41;5,65;177,37;-7,74
31,07.2019 14:41:46;29.8;5.77;314.6;1177.7952734085816;301.76;Module 1,1_12;1187.83;171,95;31,37;5,77;181,04;-9,09
31,07.2019 14:43:00;29.7;5.74;314.6;1175.3143428160738;302.17;Module 1,1_12;1185.27;170,48;31,38;5,76;180,68;-10,20
31,07.2019 14:44:14;29.7;2.97;314.6;578.7956964552869;302.5;Module 1,1_12;583.67;88,21;32,05;2,81;90,12;-1,91
31,07.2019 14:45:23;29.4;5.29;314.6;889.0138806906241;302.43;Module 1,1_12;896.46;155,53;31,82;4,35;138,35;17,18
31,07.2019 14:46:39;29.4;1.73;314.6;545.8456031659924;302.17;Module 1,1_12;550.39;50,86;32,05;2,65;84,87;-34,01
31,07.2019 14:51:49;31.7;1.54;319.2;324.76244198539797;300.31;Module 1,1_12;327.4;48,82;30,95;1,55;47,94;0,87
31,07.2019 14:53:03;31.7;1.57;318.6;330.1248731033862;299.98;Module 1,1_12;332.79;49,77;31,07;1,58;48,96;0,81
31,07.2019 14:54:15;31.1;1.94;318.6;429.1853250046453;299.7;Module 1,1_12;432.63;60,33;31,26;2,07;64,65;-4,31
31,07.2019 14:55:36;30.5;2.03;318.6;439.3667955672719;299.61;Module 1,1_12;442.87;61,91;31,27;2,12;66,25;-4,34
31,07.2019 14:57:03;31.2;2.25;317.1;558.7663894546002;299.83;Module 1,1_12;563.19;70,20;31,60;2,71;85,70;-15,50
31,07.2019 14:58:18;31.2;2.74;317.1;474.97287090814865;299.99;Module 1,1_12;478.71;85,49;31,58;2,30;72,48;13,01
31,07.2019 14:59:31;31.5;2.27;317.1;447.0536728985346;299.97;Module 1,1_12;450.55;71,50;31,55;2,16;68,05;3,45
31,07.2019 15:00:46;30.6;2.13;317.1;444.5349195422762;299.88;Module 1,1_12;447.99;65,18;31,55;2,14;67,65;-2,47
31,07.2019 15:01:59;31.3;2.17;317.1;469.9594439138957;299.75;Module 1,1_12;473.59;67,92;31,57;2,27;71,69;-3,77
31,07.2019 15:03:13;31.5;6.28;315.1;1110.1864344651444;300.08;Module 1,1_12;1118.71;197,82;31,40;5,44;170,75;27,07
31,07.2019 15:04:46;30.4;2.6;315.1;523.3631118713193;300.57;Module 1,1_12;527.35;79,04;31,96;2,54;81,05;-2,01
31,07.2019 15:06:00;30.7;2.39;315.1;503.061645826474;300.78;Module 1,1_12;506.87;73,37;31,95;2,44;77,81;-4,44
31,07.2019 15:07:13;30.8;2.14;315.1;459.8899717083382;300.83;Module 1,1_12;463.35;65,91;31,93;2,22;70,89;-4,98
31,07.2019 15:08:27;30.9;2.37;315.1;487.86260096303204;300.83;Module 1,1_12;491.51;73,23;31,95;2,36;75,38;-2,15
31,07.2019 15:09:47;30.6;2.57;315.1;487.8873320857985;300.72;Module 1,1_12;491.51;78,64;31,95;2,36;75,38;3,26
31,07.2019 15:11:09;31.3;2.96;314.6;523.4903285623632;300.64;Module 1,1_12;527.35;92,65;32,05;2,54;81,30;11,35
31,07.2019 15:12:22;31.3;2.43;314.6;642.9593533528715;300.71;Module 1,1_12;647.67;76,06;32,04;3,13;100,28;-24,22
