module;pmpp;month
Module 1_4_13;173,62283809028412;September_2019
Module 1_4_14;178,7605501664068;September_2019
Module 1_4_16;176,33469468913674;September_2019
Module 1_4_17;178,75990113570143;September_2019
Module 1_4_18;179,5317801118638;September_2019
Module 1,5_9;177,84182065635508;September_2019
String 1,5;170,8461565686074;September_2019
Module 1,5_2;177,38614896244914;September_2019
Module 1,5_3;178,36139057109196;September_2019
Module 1,5_4;178,47617755836265;September_2019
Module 1,5_5;176,81176727471643;September_2019
Module 1,5_6;181,33219741760936;September_2019
Module 1,5_7;174,95500694202212;September_2019
Module 1,5_8;178,66818479289913;September_2019
Module 1,5_1;179,64689451447035;September_2019
Module 1,5_10;175,96294977387896;September_2019
Module 1,5_11;182,44545092631373;September_2019
Module 1,5_12;175,14942498233057;September_2019
Module 1,5_13;172,93366517427168;September_2019
Module 1,5_14;177,33505829585405;September_2019
Module 1,5_15;178,44706753582835;September_2019
Module 1,5_16;180,87406313163962;September_2019
Module 1,5_17;179,27346670295447;September_2019
Module 1,5_18;177,56892489375514;September_2019
Module 1,6_9;180,4857514218528;September_2019
String 1,6;174,26555207799382;September_2019
Module 1,6_2;181,31758495954784;September_2019
Module 1,6_3;178,17969476039826;September_2019
Module 1,6_4;179,73131182383457;September_2019
Module 1,6_5;181,27592844467182;September_2019
Module 1,6_6;181,4125260264316;September_2019
Module 1,6_7;181,46330501196658;September_2019
Module 1,6_8;179,95253333183283;September_2019
Module 1,6_1;175,0424149615594;September_2019
Module 1,6_10;178,73809729962537;September_2019
Module 1,6_11;178,3915785627053;September_2019
Module 1,6_12;179,75798968978188;September_2019
Module 1,6_13;178,87362277843698;September_2019
Module 1,6_14;178,42536128983224;September_2019
Module 1,6_15;176,81591517519217;September_2019
Module 1,6_16;175,31287816727587;September_2019
Module 1,6_17;178,69505564222223;September_2019
Module 1,6_18;175,70009561740974;September_2019
Module 1,7_9;179,52016473924851;September_2019
String 1,7;182,14503488143163;September_2019
Module 1,7_2;174,51285125754632;September_2019
Module 1,7_3;177,37951791345571;September_2019
Module 1,7_4;180,21327588649703;September_2019
Module 1,7_5;181,46660439383604;September_2019
Module 1,7_6;179,78104556205773;September_2019
Module 1,7_7;179,6597711795729;September_2019
Module 1,7_8;180,17290355271936;September_2019
Module 1,7_1;177,8016919760107;September_2019
Module 1,7_10;179,1742989805664;September_2019
Module 1,7_11;177,359993003255;September_2019
Module 1,7_12;179,16104489158826;September_2019
Module 1,7_13;179,9999632790314;September_2019
Module 1,7_14;177,81331334205902;September_2019
Module 1,7_15;181,9205485087628;September_2019
Module 1,7_16;178,06939194248955;September_2019
Module 1,7_17;179,0852421225215;September_2019
Module 1,7_18;179,37848813140513;September_2019
Module 1,8_9;177,44280619969533;September_2019
String 1,8;177,88957172021006;September_2019
Module 1,8_2;182,81323374851766;September_2019
Module 1,8_3;175,4277648678869;September_2019
Module 1,8_4;176,84526846163965;September_2019
Module 1,8_5;178,85028256035852;September_2019
Module 1,8_6;173,05596800260514;September_2019
Module 1,8_7;175,4277648678869;September_2019
Module 1,8_8;173,86836697261015;September_2019
Module 1,8_1;175,16594488064862;September_2019
Module 1,8_10;177,29504861776792;September_2019
Module 1,8_11;176,50874567906087;September_2019
Module 1,8_12;176,6028111185162;September_2019
Module 1,8_13;168,62185728081133;September_2019
Module 1,8_14;180,57811758462384;September_2019
Module 1,8_15;179,4326616330235;September_2019
Module 1,8_16;174,9070720870068;September_2019
Module 1,8_17;174,63872258273665;September_2019
Module 1,8_18;174,45855226435037;September_2019
Module 1,9_9;175,6437192918188;September_2019
String 1,9;175,2777975889625;September_2019
Module 1,9_2;176,45594829893724;September_2019
Module 1,9_3;176,03506750583824;September_2019
Module 1,9_4;176,04270205091785;September_2019
Module 1,9_5;175,30921393006557;September_2019
Module 1,9_6;177,04335061437405;September_2019
Module 1,9_7;176,241012763649;September_2019
Module 1,9_8;179,27004343406765;September_2019
Module 1,9_1;177,3042747437802;September_2019
Module 1,9_10;173,56437025597972;September_2019
Module 1,9_11;177,1791280357555;September_2019
Module 1,9_12;176,05873452923933;September_2019
Module 1,9_13;174,00619563756854;September_2019
Module 1,9_14;176,80244965689732;September_2019
Module 1,9_15;176,7037275816083;September_2019
Module 1,9_16;176,13806228347136;September_2019
Module 1,9_17;176,6687777637761;September_2019
Module 1,9_18;177,00134942880493;September_2019
Module 2,1_9;178,3671841192389;September_2019
String 2,1;180,7324581390535;September_2019
Module 2,1_2;179,61584654617684;September_2019
Module 2,1_3;184,47106718680183;September_2019
Module 2,1_4;181,9559716535066;September_2019
Module 2,1_5;177,15365909547265;September_2019
Module 2,1_6;177,3374633737218;September_2019
Module 2,1_7;177,3462137687384;September_2019
Module 2,1_8;176,64959901710074;September_2019
Module 2,1_1;178,59672928078422;September_2019
Module 2,1_10;180,20966051277284;September_2019
Module 2,1_11;182,82430698593708;September_2019
Module 2,1_12;186,19400757824306;September_2019
Module 2,1_13;180,44802472128518;September_2019
Module 2,1_14;186,09509208946454;September_2019
Module 2,1_15;178,00231907618414;September_2019
Module 2,1_16;177,96599350324817;September_2019
Module 2,1_17;178,18726561946315;September_2019
Module 2,1_18;178,47314284350168;September_2019
Module 2,2_9;176,48248451717575;September_2019
String 2,2;164,4911793905227;September_2019
Module 2,2_2;181,47742363588122;September_2019
Module 2,2_3;181,02986321709713;September_2019
Module 2,2_4;182,8862151955652;September_2019
Module 2,2_5;182,08223550798522;September_2019
Module 2,2_6;176,8666865174948;September_2019
Module 2,2_7;178,73509226362074;September_2019
Module 2,2_8;175,08570350181557;September_2019
Module 2,2_1;178,76648149204587;September_2019
Module 2,2_10;184,58491205889968;September_2019
Module 2,2_11;173,58269653460746;September_2019
Module 2,2_12;174,50752031766913;September_2019
Module 2,2_13;176,72436693066422;September_2019
Module 2,2_14;177,08082331508578;September_2019
Module 2,2_15;177,94579090893288;September_2019
Module 2,2_16;179,61584654617684;September_2019
Module 2,2_17;180,41729980335018;September_2019
Module 2,2_18;182,29667892754358;September_2019
Module 2,3_9;175,33552986679805;September_2019
String 2,3;167,68022029275903;September_2019
Module 2,3_2;173,99755514649095;September_2019
Module 2,3_3;176,71339011143846;September_2019
Module 2,3_4;175,22677796266692;September_2019
Module 2,3_5;173,8031941925735;September_2019
Module 2,3_6;173,7122183879052;September_2019
Module 2,3_7;172,9145837553066;September_2019
Module 2,3_8;175,6691606212196;September_2019
Module 2,3_1;174,98289420241773;September_2019
Module 2,3_10;127,40631864176206;September_2019
Module 2,3_11;174,09310790454853;September_2019
Module 2,3_12;176,00595513914539;September_2019
Module 2,3_13;176,63267493843506;September_2019
Module 2,3_14;173,00951361034666;September_2019
Module 2,3_15;173,72875868725862;September_2019
Module 2,3_16;173,026680553135;September_2019
Module 2,3_17;174,9476194129052;September_2019
Module 2,3_18;175,73544526463272;September_2019
Module 2,4_9;177,01405008530247;September_2019
String 2,4;180,0887407427005;September_2019
Module 2,4_2;177,64893396674393;September_2019
Module 2,4_3;176,717787480994;September_2019
Module 2,4_4;179,24642212032708;September_2019
Module 2,4_5;175,39664889981478;September_2019
Module 2,4_6;177,37187712401132;September_2019
Module 2,4_7;175,87805371086623;September_2019
Module 2,4_8;176,31884535280852;September_2019
Module 2,4_1;177,33493715204187;September_2019
Module 2,4_10;176,4875156939505;September_2019
Module 2,4_11;176,47543459678369;September_2019
Module 2,4_12;176,83517398189926;September_2019
Module 2,4_13;177,42985773541864;September_2019
Module 2,4_14;174,31570131237922;September_2019
Module 2,4_15;176,26462856156422;September_2019
Module 2,4_16;175,69132853644697;September_2019
Module 2,4_17;179,46244168912773;September_2019
Module 2,4_18;177,4327007581868;September_2019
