date;V;I;T;G;Tamb;Name;G_orig;Pmax;V_sim;I_sim;Pmax_sim;deviation
30,09.2019 11:45:42;35.1;2.51;298;606.1886158181958;289.61;Module 1,9_11;642.55;88,10;36,14;2,83;102,18;-14,07
30,09.2019 11:50:04;35;1.81;298;352.90130360922615;290.12;Module 1,9_11;373.75;63,35;35,91;1,51;54,12;9,23
30,09.2019 12:01:29;35.1;3.15;300;694.5257652857819;290.6;Module 1,9_11;734.04;110,56;35,71;3,29;117,54;-6,97
30,09.2019 12:04:04;35.8;1.72;300;540.3745411686464;290.86;Module 1,9_11;570.87;61,58;35,83;2,49;89,11;-27,53
30,09.2019 12:05:56;35;3.81;301.5;688.5463316394602;291.18;Module 1,9_11;727.18;133,35;35,46;3,26;115,70;17,65
30,09.2019 12:07:50;35.8;4.64;301.5;930.805410021656;291.87;Module 1,9_11;982.73;166,11;35,04;4,52;158,49;7,62
30,09.2019 12:09:43;34.6;3.41;302;711.5509305099276;292.5;Module 1,9_11;751.02;117,99;35,35;3,38;119,60;-1,61
30,09.2019 12:23:21;34.9;4.71;305.5;964.8309043043081;292.07;Module 1,9_11;1016.31;164,38;34,28;4,71;161,32;3,06
30,09.2019 12:25:21;34.4;1.49;305.5;503.20526581350447;292.34;Module 1,9_11;529.91;51,26;34,88;2,30;80,32;-29,06
30,09.2019 12:42:41;35.4;1.87;302;587.1142529352692;290.85;Module 1,9_11;616.95;66,20;35,47;2,73;96,99;-30,79
30,09.2019 12:46:34;34.5;4.39;302;917.4707423866927;291.28;Module 1,9_11;963.68;151,45;34,98;4,45;155,84;-4,39
30,09.2019 12:48:29;35.1;3.57;302;659.0298800167844;292.15;Module 1,9_11;692.08;125,31;35,41;3,11;110,11;15,19
30,09.2019 12:50:30;33.2;1.58;302;487.64353335974016;292.81;Module 1,9_11;511.99;52,46;35,47;2,22;78,59;-26,14
30,09.2019 12:52:28;34.5;3.67;303;402.3858104436542;292.8;Module 1,9_11;422.39;126,61;35,19;1,77;62,40;64,21
30,09.2019 12:54:22;34.6;4.72;303;956.1677010287198;293.04;Module 1,9_11;1003.51;163,31;34,73;4,66;161,74;1,58
30,09.2019 13:00:00;33.9;2.95;306;978.6554894812909;293.34;Module 1,9_11;1026.55;100,00;34,16;4,78;163,25;-63,24
30,09.2019 13:05:52;34.1;1.59;306.6;319.87495838547386;292.42;Module 1,9_11;335.35;54,22;34,29;1,35;46,33;7,89
30,09.2019 13:07:35;36.5;4.2;306.6;733.0895486504465;292.99;Module 1,9_11;768.44;153,30;34,53;3,50;120,95;32,35
30,09.2019 13:09:34;34.3;2.19;307.6;642.5116010972563;293.39;Module 1,9_11;673.38;75,12;34,46;3,03;104,52;-29,40
30,09.2019 13:15:20;34.1;1.42;307.6;295.251160912663;292.59;Module 1,9_11;309.29;48,42;33,98;1,23;41,64;6,78
30,09.2019 13:17:16;34.1;1.79;307.6;398.3901335928223;292.57;Module 1,9_11;417.27;61,04;34,38;1,76;60,54;0,50
30,09.2019 13:19:09;36;2.79;306;332.4454136766452;293.14;Module 1,9_11;348.15;100,44;34,45;1,42;48,76;51,68
30,09.2019 13:21:16;34.7;1.49;306;302.6719610465316;293.67;Module 1,9_11;316.92;51,70;34,30;1,26;43,26;8,45
