stringName;stringPowerWh
String 1.1;319765
String 1.2;323666
String 1.3;332067
String 1.4;330579
String 1.5;334393
String 1.6;337233
String 1.7;339106
String 1.8;330567
String 1.9;331374
String 1.10;337292
String 1.11;325400
String 1.12;323648
String 2.1;323025
String 2.3;308179
String 2.4;315038
String 2.2;319188
