stringName;stringPowerWh
String 1.1;72168
String 1.2;71922
String 1.3;68156
String 1.4;73839
String 1.5;66844
String 1.6;73390
String 1.7;78700
String 1.8;78321
String 1.9;79587
String 1.10;79350
String 1.11;78842
String 1.12;81316
String 2.1;84670
String 2.3;80501
String 2.4;81132
String 2.2;82933
