date;V;I;T;G;Tamb;Name;G_orig;Pmax;V_sim;I_sim;Pmax_sim;deviation
01,09.2019 09:39:27;33.6;1.53;310.2;310.06210210831443;298.48;Module 1,9_14;332.79;51,41;34,62;1,36;46,97;4,44
01,09.2019 09:41:23;33.6;1.58;310.7;324.7357474830304;298.77;Module 1,9_14;348.15;53,09;34,59;1,43;49,52;3,57
01,09.2019 09:43:15;33.5;1.52;310.7;304.51458243670174;299;Module 1,9_14;326.13;50,92;34,51;1,33;45,87;5,05
01,09.2019 09:45:10;33.7;1.42;310.7;287.3430781897368;299.19;Module 1,9_14;307.42;47,85;34,42;1,24;42,77;5,09
01,09.2019 10:15:38;33.3;1.21;310.7;390.2709261732821;297.66;Module 1,9_14;412.15;40,29;34,77;1,76;61,33;-21,04
01,09.2019 10:20:01;33.3;2.01;312.2;302.59935327273996;298.32;Module 1,9_14;319.1;66,93;34,23;1,32;45,23;21,70
01,09.2019 10:22:09;33.2;2.72;312.7;536.8585043028976;298.85;Module 1,9_14;565.75;90,30;34,55;2,51;86,74;3,56
01,09.2019 10:24:05;33.8;2.75;312.7;471.55021133798255;299.55;Module 1,9_14;496.63;92,95;34,52;2,18;75,23;17,72
01,09.2019 10:25:58;33.6;1.69;312.7;335.6207230334454;300.05;Module 1,9_14;353.27;56,78;34,27;1,49;51,04;5,75
01,09.2019 10:39:34;33.1;2.79;314.8;573.6781421934559;299.68;Module 1,9_14;601.59;92,35;34,18;2,70;92,28;0,07
01,09.2019 10:41:28;33.7;2.89;314.8;595.9333455152563;300.24;Module 1,9_14;624.63;97,39;34,18;2,81;96,12;1,27
01,09.2019 10:45:14;33.3;2.98;314.8;613.5917358504197;301.08;Module 1,9_14;642.55;99,23;34,17;2,90;99,16;0,07
01,09.2019 10:47:10;33.1;3.04;316.3;618.762643958649;301.83;Module 1,9_14;647.67;100,62;33,91;2,93;99,34;1,29
01,09.2019 10:49:03;32.8;2.68;316.3;552.9677572785707;302.39;Module 1,9_14;578.55;87,90;33,92;2,60;88,06;-0,16
01,09.2019 10:50:56;32.8;2.87;318.3;587.4728687472069;302.8;Module 1,9_14;614.39;94,14;33,56;2,77;93,08;1,06
01,09.2019 10:52:52;32.6;2.94;318.3;592.6220292983976;303.1;Module 1,9_14;619.51;95,84;33,56;2,80;93,95;1,89
01,09.2019 10:54:46;31.8;2.54;318.3;573.2669717576106;303.17;Module 1,9_14;599.03;80,77;33,56;2,70;90,67;-9,90
01,09.2019 10:56:48;31.8;2.87;320.3;573.514492731347;303.05;Module 1,9_14;599.03;91,27;33,21;2,70;89,82;1,44
01,09.2019 10:58:43;32.8;2.92;320.3;605.6182591637862;303.46;Module 1,9_14;632.31;95,78;33,20;2,87;95,21;0,57
01,09.2019 11:00:36;32.6;2.91;320.8;610.7565755642073;303.58;Module 1,9_14;637.43;94,87;33,12;2,89;95,83;-0,96
01,09.2019 11:02:28;32.6;3;320.8;628.5636957266488;303.57;Module 1,9_14;655.77;97,80;33,11;2,98;98,79;-0,99
01,09.2019 11:04:27;32.7;3.21;322.3;661.3527124439302;303.58;Module 1,9_14;689.71;104,97;32,82;3,15;103,44;1,53
01,09.2019 11:06:22;31.8;1.98;322.3;373.249300179742;303.45;Module 1,9_14;389.11;62,96;32,67;1,69;55,25;7,71
01,09.2019 11:08:14;32.6;3.24;322.3;668.9685860458692;303.22;Module 1,9_14;697.15;105,62;32,81;3,19;104,68;0,94
01,09.2019 11:10:16;32.7;3.21;322.3;664.2189407307106;303.03;Module 1,9_14;691.94;104,97;32,82;3,17;103,91;1,06
01,09.2019 11:12:09;32.8;3.19;322.3;659.6637868194199;303.11;Module 1,9_14;686.96;104,63;32,82;3,14;103,16;1,47
