date;V;I;T;G;Tamb;Name;G_orig;Pmax;V_sim;I_sim;Pmax_sim;deviation
30,09.2019 11:46:11;35;1.31;294;330.8955319657698;289.71;Module 1,3_14;350.71;45,85;35,09;1,52;53,48;-7,63
30,09.2019 11:48:38;34.7;1.66;295.5;355.22030634427847;290.06;Module 1,3_14;376.31;57,60;34,91;1,65;57,61;-0,01
30,09.2019 11:50:33;33.8;4.03;295.5;803.8110385290506;290.17;Module 1,3_14;851.22;136,21;35,59;3,95;140,51;-4,29
30,09.2019 12:00:03;35;3.05;296;433.4561328239048;290.59;Module 1,3_14;458.23;106,75;35,08;2,05;71,93;34,82
30,09.2019 12:01:58;34.6;1.84;297.5;416.64187954211457;290.74;Module 1,3_14;440.31;63,66;34,76;1,97;68,34;-4,68
30,09.2019 12:04:32;34.5;4.97;297.5;981.4814326357787;290.96;Module 1,3_14;1036.79;171,47;35,23;4,86;171,24;0,23
30,09.2019 12:06:25;34.4;3.31;298;344.2245106914592;291.38;Module 1,3_14;363.51;113,86;34,42;1,60;54,94;58,92
30,09.2019 12:08:19;34.6;4.8;298;940.8611762580597;292.03;Module 1,3_14;993.27;166,08;35,14;4,65;163,54;2,54
30,09.2019 12:10:12;34.8;1.9;298;344.4322216630041;292.62;Module 1,3_14;363.51;66,12;34,42;1,60;54,98;11,14
30,09.2019 12:15:58;33.2;1.68;300;304.30626075136547;292.63;Module 1,3_14;320.88;55,78;33,88;1,39;47,22;8,56
30,09.2019 12:18:06;34.1;1.45;300;352.12750476695777;292.21;Module 1,3_14;371.19;49,45;34,09;1,64;55,85;-6,41
30,09.2019 12:23:50;34.6;3.3;300;498.24081814228606;292.33;Module 1,3_14;524.79;114,18;34,50;2,39;82,32;31,86
30,09.2019 12:27:44;33.4;3.13;300;295.8862662162827;292.2;Module 1,3_14;311.49;104,54;33,83;1,35;45,70;58,84
30,09.2019 12:43:10;34.5;2.41;298;518.9289603127175;290.93;Module 1,3_14;545.27;83,15;34,90;2,49;86,91;-3,76
30,09.2019 12:47:03;34.9;4.43;298;906.78858520813;291.57;Module 1,3_14;952.41;154,61;35,15;4,48;157,41;-2,81
30,09.2019 12:48:58;35;4.62;298;980.0153456123634;292.55;Module 1,3_14;1029.11;161,70;35,14;4,85;170,56;-8,86
30,09.2019 12:52:58;34.6;4.61;299.5;956.0328769846932;292.79;Module 1,3_14;1003.51;159,51;34,88;4,73;165,04;-5,53
30,09.2019 12:54:50;34.4;3.75;300;958.6515439202072;293.22;Module 1,3_14;1006.07;129,00;34,79;4,75;165,09;-36,09
30,09.2019 12:56:44;34.5;3.13;300;654.2374511447206;293.34;Module 1,3_14;686.47;107,98;34,70;3,19;110,56;-2,57
30,09.2019 12:58:36;34.9;3.71;300;963.8841600469284;293.32;Module 1,3_14;1011.19;129,48;34,78;4,77;166,02;-36,54
30,09.2019 13:00:29;35.4;2.16;301;427.1080430310487;293.5;Module 1,3_14;447.99;76,46;34,16;2,02;69,09;7,37
30,09.2019 13:04:24;33.1;1.48;303.5;366.22264842328707;292.6;Module 1,3_14;383.99;48,99;33,51;1,71;57,42;-8,43
30,09.2019 13:06:21;33.9;4.67;303.5;770.9471670852882;292.42;Module 1,3_14;808.21;158,31;34,15;3,79;129,29;29,02
30,09.2019 13:08:04;36.5;2.83;303.5;539.7463817896573;293.11;Module 1,3_14;565.75;103,30;33,94;2,60;88,30;14,99
30,09.2019 13:10:03;34.4;3.26;303.5;1013.7303368148662;293.46;Module 1,3_14;1062.39;112,14;34,15;5,03;171,79;-59,65
30,09.2019 13:15:49;33.7;1.45;301;289.25769742625863;292.55;Module 1,3_14;303;48,87;33,61;1,32;44,30;4,56
30,09.2019 13:21:45;33.3;1.6;301;317.83976191112924;293.67;Module 1,3_14;332.79;53,28;33,76;1,46;49,43;3,85
30,09.2019 13:23:45;33.7;1.69;301;337.4485236778072;293.59;Module 1,3_14;353.27;56,95;33,84;1,56;52,95;4,01
30,09.2019 13:38:47;34.5;1.63;299.5;323.09112243304185;291.88;Module 1,3_14;337.91;56,23;34,05;1,49;50,73;5,51
30,09.2019 13:40:41;36.8;1.58;300;310.905576641752;292.26;Module 1,3_14;325.13;58,14;33,91;1,43;48,41;9,73
30,09.2019 13:42:39;34.2;4.72;300;1020.9187635560213;292.48;Module 1,3_14;1067.51;161,42;34,77;5,06;176,12;-14,70
30,09.2019 13:44:43;36.1;4.54;300;989.202141248328;293.35;Module 1,3_14;1034.23;163,89;34,78;4,90;170,51;-6,62
30,09.2019 13:46:36;35.7;4.81;301;1048.0710121252246;294.4;Module 1,3_14;1095.67;171,72;34,59;5,20;180,01;-8,29
30,09.2019 13:48:37;35.2;5.05;301;1097.1595503486747;295.56;Module 1,3_14;1146.87;177,76;34,56;5,46;188,60;-10,84
30,09.2019 13:50:41;32.8;1.68;303.5;333.0935717376418;296.03;Module 1,3_14;348.15;55,10;33,37;1,54;51,54;3,57
30,09.2019 13:53:19;32.6;2.19;303.5;597.6912295148098;295.49;Module 1,3_14;624.63;71,39;34,02;2,90;98,61;-27,21
30,09.2019 13:55:16;35.3;1.98;305.6;325.8152766946609;295.92;Module 1,3_14;340.47;69,89;32,95;1,51;49,73;20,17
30,09.2019 13:59:38;32.9;4.91;305.6;965.3969942927093;296;Module 1,3_14;1008.63;161,54;33,78;4,78;161,63;-0,09
30,09.2019 14:01:33;34.6;4.33;305.6;1009.5800797598604;295.65;Module 1,3_14;1054.71;149,82;33,77;5,01;169,23;-19,41
30,09.2019 14:05:25;35.1;1.51;305.6;372.5152694540295;294.94;Module 1,3_14;389.11;53,00;33,15;1,75;57,93;-4,93
30,09.2019 14:07:20;34.3;1.47;305.6;297.2590595678943;294.9;Module 1,3_14;310.48;50,42;32,81;1,36;44,73;5,69
30,09.2019 14:15:05;35.5;1.98;303.5;416.7616852105767;294.02;Module 1,3_14;435.19;70,29;33,67;1,97;66,40;3,89
30,09.2019 14:16:59;34.6;2.28;303.5;468.27015234560133;293.97;Module 1,3_14;488.95;78,89;33,80;2,24;75,57;3,31
30,09.2019 14:18:55;33.7;1.46;303.5;292.1630714393414;293.77;Module 1,3_14;305.05;49,20;33,16;1,34;44,29;4,91
30,09.2019 14:21:19;33.5;2.44;303.5;460.96602107050273;293.51;Module 1,3_14;481.27;81,74;33,79;2,20;74,27;7,47
30,09.2019 14:23:13;34.7;2.56;303.5;752.2503461733843;294.02;Module 1,3_14;785.35;88,83;34,14;3,69;125,99;-37,16
30,09.2019 14:25:06;34.2;1.61;301;306.23822464379725;294.1;Module 1,3_14;319.7;55,06;33,70;1,41;47,34;7,72
30,09.2019 14:33:53;33.4;4.43;301;958.9475063865654;293.42;Module 1,3_14;1000.95;147,96;34,61;4,75;164,33;-16,36
30,09.2019 14:37:48;28.1;2.34;300;291.1133807031395;293.55;Module 1,3_14;303.85;65,75;33,80;1,33;44,85;20,91
30,09.2019 14:41:57;24.8;2.84;299.5;448.8491418521368;293.47;Module 1,3_14;468.47;70,43;34,48;2,13;73,54;-3,11
