date;V;I;T;G;Tamb;Name;G_orig;Pmax;V_sim;I_sim;Pmax_sim;deviation
05,09.2019 08:53:40;34.3;0.59;294;107.45765149002307;290.01;Module 1,12_16;121.82;20,24;32,98;0,34;11,26;8,98
05,09.2019 08:55:34;34.1;0.61;294;109.93873749164231;290.14;Module 1,12_16;124.22;20,80;33,13;0,35;11,70;9,10
05,09.2019 08:57:29;34.1;0.62;294;110.48295958919272;290.24;Module 1,12_16;124.44;21,14;33,16;0,36;11,80;9,34
05,09.2019 08:59:22;34.1;0.66;294;117.93346710733135;290.3;Module 1,12_16;132.44;22,51;33,55;0,39;13,14;9,37
05,09.2019 09:01:15;33.9;0.65;294;115.57706863083322;290.38;Module 1,12_16;129.43;22,04;33,44;0,38;12,71;9,32
05,09.2019 09:03:17;33.8;0.62;294;109.14876375865013;290.5;Module 1,12_16;121.88;20,96;33,09;0,35;11,56;9,40
05,09.2019 09:05:11;33.7;0.58;294;104.86710712360444;290.5;Module 1,12_16;116.8;19,55;32,80;0,33;10,80;8,75
05,09.2019 09:07:04;34.2;0.42;294;75.89756440882505;290.45;Module 1,12_16;84.33;14,36;28,38;0,21;5,92;8,44
05,09.2019 09:09:00;33.5;0.34;294;63.00541583472355;290.36;Module 1,12_16;69.84;11,39;23,95;0,17;4,09;7,30
05,09.2019 09:10:53;33.4;0.35;294;63.551200078766705;290.35;Module 1,12_16;70.29;11,69;24,16;0,17;4,16;7,53
05,09.2019 09:12:45;33.2;0.35;294;65.48709011115089;290.3;Module 1,12_16;72.28;11,62;24,88;0,18;4,42;7,20
05,09.2019 09:14:38;33;0.35;294;65.86457232444127;290.24;Module 1,12_16;72.55;11,55;25,01;0,18;4,47;7,08
05,09.2019 09:16:32;32.9;0.35;294;65.15643253654197;290.21;Module 1,12_16;71.63;11,51;24,75;0,18;4,37;7,14
05,09.2019 09:18:42;32.9;0.33;294;61.19327107699617;290.21;Module 1,12_16;67.13;10,86;23,27;0,17;3,86;7,00
05,09.2019 09:20:39;32.8;0.32;294;58.684569111063276;290.19;Module 1,12_16;64.26;10,50;22,33;0,16;3,55;6,95
05,09.2019 09:22:33;32.7;0.27;294;51.283924711744454;290.17;Module 1,12_16;56.06;8,83;19,52;0,14;2,71;6,12
05,09.2019 09:24:26;32.6;0.24;294;45.091188928652;290.14;Module 1,12_16;49.21;7,82;17,17;0,12;2,10;5,73
05,09.2019 09:26:19;32.4;0.22;294;41.31686968214364;290.06;Module 1,12_16;45.02;7,13;15,73;0,11;1,76;5,37
05,09.2019 09:28:12;32.4;0.2;294;36.8849817961143;289.92;Module 1,12_16;40.13;6,48;14,05;0,10;1,40;5,08
05,09.2019 09:30:05;32.1;0.19;294;36.34061738477163;289.89;Module 1,12_16;39.48;6,10;13,84;0,10;1,36;4,74
05,09.2019 09:31:59;32;0.21;294;38.88116817889166;289.85;Module 1,12_16;42.18;6,72;14,80;0,11;1,56;5,16
05,09.2019 09:33:58;32.2;0.21;294;40.19228441098099;289.83;Module 1,12_16;43.54;6,76;15,30;0,11;1,66;5,10
05,09.2019 09:35:51;32.2;0.21;293.5;40.14334636215532;289.82;Module 1,12_16;43.43;6,76;15,28;0,11;1,66;5,10
