date;V;I;T;G;Tamb;Name;G_orig;Pmax;V_sim;I_sim;Pmax_sim;deviation
31,07.2019 14:17:03;33.9;2.06;308.7;458.9736012765988;292.61;Module 1,5_14;463.35;69,83;34,80;2,16;75,23;-5,40
31,07.2019 14:18:17;34.4;2.06;308.7;433.63774826809777;292.89;Module 1,5_14;437.75;70,86;34,77;2,03;70,59;0,28
31,07.2019 14:19:34;34.1;2.04;308.7;420.98050266271196;293.21;Module 1,5_14;424.95;69,56;34,74;1,96;68,26;1,30
31,07.2019 14:20:47;34;2.09;308.7;464.1174358507776;293.54;Module 1,5_14;468.47;71,06;34,80;2,19;76,17;-5,11
31,07.2019 14:22:01;34.3;3.61;310.7;839.36162073371;293.82;Module 1,5_14;847.19;123,82;34,36;4,14;142,09;-18,27
31,07.2019 14:23:27;33.8;5.29;310.7;1253.0184668633108;294.92;Module 1,5_14;1264.63;178,80;33,70;6,27;211,25;-32,45
31,07.2019 14:24:45;33.5;5.76;310.7;1171.9133479080265;296.03;Module 1,5_14;1182.71;192,96;33,85;5,85;198,09;-5,13
31,07.2019 14:25:58;32.2;5.53;312.7;1128.8470034438221;296.81;Module 1,5_14;1139.19;178,07;33,58;5,63;189,10;-11,04
31,07.2019 14:27:13;32.5;5.34;312.7;1111.1465550569178;297.66;Module 1,5_14;1121.27;173,55;33,61;5,54;186,22;-12,67
31,07.2019 14:28:30;31.6;4.5;312.7;1172.0932369607476;298.27;Module 1,5_14;1182.71;142,20;33,50;5,85;196,13;-53,93
31,07.2019 14:29:45;32.9;4.38;312.7;568.3114404007022;298.59;Module 1,5_14;573.43;144,10;34,16;2,73;93,38;50,72
31,07.2019 14:31:02;31.1;5.63;312.7;1149.37841174171;299.07;Module 1,5_14;1159.67;175,09;33,55;5,74;192,44;-17,35
31,07.2019 14:32:14;31.1;5.44;312.7;1037.7884633619783;299.54;Module 1,5_14;1047.03;169,18;33,73;5,16;174,14;-4,96
31,07.2019 14:33:27;30.8;4.17;312.7;1070.827332190927;299.87;Module 1,5_14;1080.31;128,44;33,68;5,33;179,60;-51,16
31,07.2019 14:34:38;31.2;5.29;312.7;1086.104278290904;300.16;Module 1,5_14;1095.67;165,05;33,66;5,41;182,11;-17,06
31,07.2019 14:35:55;30.5;5.46;312.7;1027.79132730337;300.4;Module 1,5_14;1036.79;166,53;33,75;5,11;172,48;-5,95
31,07.2019 14:37:12;30.5;3.17;322.8;763.4552917299047;300.72;Module 1,5_14;770.1;96,69;32,30;3,75;121,21;-24,52
31,07.2019 14:38:27;31.2;5.51;322.8;1129.4170836884423;300.93;Module 1,5_14;1139.19;171,91;31,81;5,64;179,36;-7,45
31,07.2019 14:39:31;30.4;5.41;322.8;745.4912093506442;301.13;Module 1,5_14;751.91;164,46;32,31;3,66;118,26;46,20
31,07.2019 14:40:45;30.6;5.61;322.8;1152.3650136680903;301.35;Module 1,5_14;1162.23;171,67;31,77;5,76;182,88;-11,22
31,07.2019 14:42:00;30.4;2.29;325.3;803.0356923380699;301.89;Module 1,5_14;809.87;69,62;31,81;3,96;125,96;-56,35
31,07.2019 14:43:13;30.1;5.85;325.3;1203.2481307353619;302.28;Module 1,5_14;1213.43;176,09;31,24;6,02;187,98;-11,89
31,07.2019 14:44:27;30;2.78;325.3;578.8006482294201;302.5;Module 1,5_14;583.67;83,40;31,91;2,80;89,37;-5,97
31,07.2019 14:45:35;30.7;4.53;325.3;846.9231506500772;302.46;Module 1,5_14;854.01;139,07;31,77;4,19;132,98;6,09
31,07.2019 14:46:53;29.6;1.89;325.3;500.15065925836484;302.09;Module 1,5_14;504.31;55,94;31,88;2,39;76,28;-20,34
31,07.2019 14:50:49;30.2;1.47;328.9;319.7803281988049;300.53;Module 1,5_14;322.39;44,39;30,81;1,46;45,13;-0,73
31,07.2019 14:52:02;30.6;1.54;328.9;324.7651841505618;300.31;Module 1,5_14;327.4;47,12;30,84;1,49;45,95;1,17
31,07.2019 14:53:15;31;1.59;328.9;330.1274409893176;299.98;Module 1,5_14;332.79;49,29;30,86;1,52;46,84;2,45
31,07.2019 14:54:28;31.1;4.62;326.8;650.1374577128688;299.67;Module 1,5_14;655.35;143,68;31,64;3,17;100,32;43,37
