moduleName;averageIrradiation;averageTemperature;averageAmbientTemperature;averageVoltage;averageCurrent
Module 1,10_17;333,26;30,82;20,92;33,54;1,60
Module 1,10_18;337,82;28,87;21,23;32,07;1,62
Module 1,11_1;329,77;40,81;20,81;32,74;1,55
Module 1,11_2;330,20;29,17;20,82;32,76;1,55
Module 1,11_3;333,77;27,20;20,98;32,44;1,56
Module 1,11_4;331,66;28,23;20,85;32,81;1,56
Module 1,11_5;343,63;29,75;20,79;32,58;1,61
Module 1,11_6;331,39;36,95;20,82;32,99;1,56
Module 1,11_7;333,45;28,40;20,90;32,89;1,57
Module 1,11_8;330,77;27,47;20,91;32,46;1,56
Module 1,11_9;331,27;28,43;20,87;32,78;1,56
Module 1,11_10;332,45;32,64;20,91;32,62;1,56
Module 1,11_11;371,82;32,67;21,77;33,66;1,74
Module 1,11_12;336,49;29,61;20,64;32,40;1,58
Module 1,11_13;331,02;29,00;20,88;32,32;1,55
Module 1,11_14;358,20;29,47;20,72;32,40;1,67
Module 1,11_15;341,54;25,63;20,86;32,52;1,60
Module 1,11_16;332,12;36,21;20,82;33,05;1,56
Module 1,11_17;332,59;28,91;20,85;32,98;1,56
Module 1,11_18;335,39;29,26;20,77;32,40;1,57
Module 1,12_1;341,74;29,07;20,80;32,76;1,59
Module 1,12_2;334,56;30,36;20,78;31,78;1,56
Module 1,12_3;332,57;28,35;20,88;32,63;1,55
Module 1,12_4;333,47;30,17;20,95;31,79;1,56
Module 1,12_5;332,77;30,86;20,84;32,30;1,55
Module 1,12_6;340,08;31,42;21,03;32,55;1,59
Module 1,12_7;333,07;28,62;20,84;33,46;1,55
Module 1,12_8;332,40;29,22;20,84;32,90;1,55
Module 1,12_9;332,30;31,09;20,84;32,68;1,55
Module 1,12_10;332,74;28,47;20,85;32,83;1,56
Module 1,12_11;336,93;29,97;20,86;33,16;1,57
Module 1,12_12;333,20;28,83;20,83;33,00;1,56
Module 1,12_13;337,63;63,14;20,83;32,74;1,57
Module 1,12_14;332,62;28,34;20,83;32,76;1,55
Module 1,12_15;333,30;29,53;20,87;32,16;1,56
Module 1,12_16;332,29;28,78;20,83;33,03;1,55
Module 1,12_17;331,93;30,61;20,76;33,01;1,55
Module 1,12_18;332,16;38,04;20,85;32,36;1,55
Module 2,1_1;316,16;28,35;21,00;30,65;1,50
Module 2,1_2;330,96;39,35;20,99;31,77;1,56
Module 2,1_3;332,83;31,63;20,93;33,48;1,53
Module 2,1_4;333,59;34,07;20,93;33,21;1,53
Module 2,1_5;331,70;27,13;20,87;32,68;1,54
Module 2,1_6;331,62;37,68;20,87;33,11;1,54
Module 2,1_7;331,87;29,68;20,88;32,65;1,54
Module 2,1_8;334,73;28,09;20,92;33,06;1,54
Module 2,1_9;331,84;29,18;20,88;32,94;1,54
Module 2,1_10;331,87;29,32;20,88;32,37;1,54
Module 2,1_11;334,25;33,07;20,99;33,77;1,52
Module 2,1_12;333,46;34,88;20,94;33,63;1,53
Module 2,1_13;335,44;31,18;20,85;33,11;1,55
Module 2,1_14;332,87;34,55;20,93;33,97;1,53
Module 2,1_15;331,62;29,66;20,90;32,09;1,54
Module 2,1_16;332,45;27,02;20,90;32,52;1,54
Module 2,1_17;339,42;29,59;21,00;32,60;1,54
Module 2,1_18;331,86;30,05;20,89;33,03;1,53
Module 2,2_1;331,26;31,04;20,81;33,05;1,53
Module 2,2_2;377,77;30,17;21,71;31,43;1,73
Module 2,2_3;330,51;33,16;20,80;34,13;1,53
Module 2,2_4;330,75;33,23;20,80;33,83;1,53
Module 2,2_5;330,04;34,52;21,08;33,69;1,49
Module 2,2_6;332,74;28,04;20,87;32,18;1,54
Module 2,2_7;330,86;30,49;20,81;33,54;1,53
Module 2,2_8;331,94;28,91;20,83;32,13;1,54
Module 2,2_9;332,08;27,20;20,85;33,02;1,54
Module 2,2_10;329,86;31,14;20,65;34,34;1,55
Module 2,2_11;330,82;26,94;20,81;32,77;1,53
Module 2,2_12;330,84;28,06;20,81;32,38;1,53
Module 2,2_13;332,16;28,85;21,04;31,46;1,53
Module 2,2_14;331,69;33,35;20,79;33,66;1,54
Module 2,2_14 (2);330,99;27,53;20,81;33,30;1,53
Module 2,2_15;346,08;31,51;20,61;32,19;1,65
Module 2,2_16;331,37;28,94;20,83;32,31;1,53
Module 2,2_17;331,33;30,36;20,81;33,06;1,54
Module 2,2_18;331,02;34,33;20,81;33,73;1,53
Module 2,3_1;332,40;30,78;20,88;32,45;1,48
Module 2,3_2;331,21;29,82;20,86;33,33;1,47
Module 2,3_3;331,43;29,83;20,85;33,23;1,47
Module 2,3_4;335,39;30,57;20,89;33,00;1,49
Module 2,3_5;331,42;30,01;20,98;32,48;1,47
Module 2,3_6;333,19;31,22;20,88;33,29;1,48
Module 2,3_7;333,37;30,23;20,99;32,94;1,45
Module 2,3_8;338,17;29,86;20,88;32,62;1,50
Module 2,3_9;330,49;30,73;20,90;32,47;1,47
Module 2,3_10;335,06;26,64;20,88;27,33;1,48
Module 2,3_10 QClip;333,47;25,30;20,96;27,43;1,47
Module 2,3_11;329,95;36,69;20,91;32,34;1,47
Module 2,3_12;330,29;30,33;20,85;33,47;1,47
Module 2,3_13;333,53;30,94;20,98;32,91;1,47
Module 2,3_14;335,09;28,88;20,77;32,58;1,49
Module 2,3_15;334,26;29,36;21,02;32,95;1,46
Module 2,3_16;334,31;29,08;20,87;33,13;1,48
Module 2,3_17;331,46;29,81;20,88;33,16;1,47
Module 2,3_18;332,76;32,81;20,97;32,94;1,47
Module 2,4_1;332,63;30,88;20,96;33,10;1,48
Module 2,4_2;330,70;33,38;20,87;33,44;1,49
Module 2,4_3;332,24;31,34;20,99;32,64;1,48
Module 2,4_4;332,31;31,39;20,98;32,13;1,50
Module 2,4_5;330,55;30,07;20,86;33,18;1,49
Module 2,4_6;335,44;30,05;20,67;31,54;1,53
Module 2,4_7;331,65;30,07;21,00;31,99;1,50
Module 2,4_8;332,43;27,93;20,93;33,10;1,48
Module 2,4_9;332,27;30,05;20,94;32,35;1,49
Module 2,4_10;333,55;29,85;20,93;32,75;1,48
Module 2,4_11;330,61;60,27;20,86;33,25;1,49
Module 2,4_12;331,29;30,55;20,89;32,72;1,49
Module 2,4_13;333,75;30,81;21,01;33,44;1,47
Module 2,4_14;341,21;28,74;20,52;31,80;1,60
Module 2,4_15;329,09;33,67;20,79;33,51;1,49
Module 2,4_16;331,75;38,23;20,90;32,81;1,49
Module 2,4_17;332,50;30,63;20,85;32,61;1,49
Module 2,4_18;330,86;30,75;20,87;33,30;1,49
